algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
NLSM,5,0,0,0,0,0,0,0,0,5000,0
NLSM,5,0,0,0,0,0,0,0,0,5000,0
NLSM,5,0,0,0,0,0,0,0,0,5000,0
NLSM,5,0,0,0,0,0,0,0,0,5000,0
NLSM,5,0,0,0,0,0,0,0,0,5000,0
NLSM,5,0,0,1,0,0,0,0,5,4994,0
NLSM,5,0,0,0,0,0,0,0,2,4998,0
NLSM,5,1,0,2,0,0,1,1,5,4990,0
NLSM,5,0,1,0,0,0,0,1,2,4996,0
NLSM,5,0,0,0,0,0,0,1,6,4993,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,10,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
NLSM,50,0,0,0,0,0,0,0,0,5000,0
RFQI,5,43,31,8,2,1,0,5,30,139,4741
RFQI,5,93,34,9,5,3,3,8,38,193,4614
RFQI,5,96,31,13,0,4,2,9,36,194,4615
RFQI,5,29,10,5,2,1,1,2,11,47,4892
RFQI,5,27,16,1,2,3,2,5,11,49,4884
RFQI,5,13,4,0,1,1,0,0,6,22,4953
RFQI,5,0,1,0,0,0,0,0,1,1,4997
RFQI,5,199,56,6,4,1,7,14,75,331,4307
RFQI,5,163,52,7,3,4,3,13,89,341,4325
RFQI,5,3629,562,144,31,15,16,11,2,12,578
RFQI,10,193,70,15,2,3,3,12,82,370,4250
RFQI,10,139,70,12,4,8,10,16,64,299,4378
RFQI,10,139,52,14,6,4,5,14,71,291,4404
RFQI,10,167,53,12,6,1,3,26,82,340,4310
RFQI,10,158,55,18,6,7,3,10,71,337,4335
RFQI,10,169,64,19,6,2,9,18,76,316,4321
RFQI,10,57,29,5,2,1,5,9,32,126,4734
RFQI,10,148,67,15,5,4,7,15,72,293,4374
RFQI,10,142,55,9,4,4,7,17,62,275,4425
RFQI,10,145,66,20,1,3,8,20,77,322,4338
RFQI,50,131,75,22,15,10,12,28,83,242,4382
RFQI,50,135,84,24,11,7,10,26,72,221,4410
RFQI,50,124,76,27,7,10,12,25,68,223,4428
RFQI,50,114,67,15,13,13,13,20,76,203,4466
RFQI,50,135,57,27,11,11,7,27,81,223,4421
RFQI,50,132,78,30,11,12,10,23,70,274,4360
RFQI,50,128,64,30,11,7,9,30,66,251,4404
RFQI,50,122,68,22,17,6,13,36,72,272,4372
RFQI,50,127,53,30,14,13,18,27,67,205,4446
RFQI,50,133,69,23,10,4,13,21,75,243,4409
RLSM,5,409,127,25,8,4,9,25,102,1152,3139
RLSM,5,448,176,30,4,6,3,21,109,1188,3015
RLSM,5,449,181,26,7,0,2,15,106,1128,3086
RLSM,5,410,162,30,2,4,7,21,124,1198,3042
RLSM,5,482,163,27,3,3,6,23,117,1133,3043
RLSM,5,390,162,20,6,6,5,25,113,1223,3050
RLSM,5,438,184,23,6,1,5,13,131,1198,3001
RLSM,5,474,177,23,10,9,2,22,129,1213,2941
RLSM,5,406,166,30,8,0,4,10,114,1207,3055
RLSM,5,406,181,26,6,3,4,17,127,1164,3066
RLSM,10,364,124,25,13,1,8,17,112,1217,3119
RLSM,10,343,124,26,6,6,8,17,122,1196,3152
RLSM,10,356,127,22,7,3,7,22,134,1170,3152
RLSM,10,306,141,15,7,5,1,24,126,1240,3135
RLSM,10,347,127,20,8,7,6,22,118,1259,3086
RLSM,10,331,136,30,7,9,5,21,143,1209,3109
RLSM,10,330,131,23,8,0,7,22,131,1183,3165
RLSM,10,337,149,16,6,5,6,16,117,1191,3157
RLSM,10,327,133,30,4,8,5,22,118,1146,3207
RLSM,10,349,120,24,9,6,9,18,126,1212,3127
RLSM,50,245,108,30,11,13,20,24,130,1173,3246
RLSM,50,244,103,25,20,7,10,44,135,1147,3265
RLSM,50,230,101,18,10,10,12,38,128,1137,3316
RLSM,50,209,105,36,12,10,14,32,131,1144,3307
RLSM,50,241,91,27,16,13,7,35,127,1168,3275
RLSM,50,223,102,37,16,8,12,25,130,1074,3373
RLSM,50,225,118,31,13,15,13,30,144,1100,3311
RLSM,50,206,93,29,14,9,15,30,128,1118,3358
RLSM,50,235,93,32,11,3,11,31,148,1135,3301
RLSM,50,208,114,35,14,13,8,32,126,1090,3360
