algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,rate,alpha,sigma,beta,lam,x0,y0,dist_par,f_level,f_amp,f_period,price_upper_bound
NLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,187.66442449229228,12.142782926559448,5.695831537246704,6.446951389312744,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

NLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,230.21271730701466,18.514846324920654,11.567942380905151,6.946903944015503,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

NLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,341.8366581576838,70.07726860046387,58.37505125999451,11.70221734046936,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,180.54346045255554,7.520590543746948,5.67702317237854,1.8435673713684082,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,228.05057127477747,13.89686894416809,11.651815176010132,2.245053768157959,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RFQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,338.4237036714829,61.87328004837036,58.69197678565979,3.1813032627105713,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,188.92739577354453,6.128257513046265,5.964707136154175,0.16355037689208984,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,232.38032080951962,12.046326637268066,11.883852243423462,0.1624743938446045,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

RLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,348.42624376901676,58.92854285240173,58.47128653526306,0.4572563171386719,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,189.25693342025218,7.110007286071777,6.020508050918579,1.0894992351531982,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,226.76465475734528,16.67359232902527,11.454026222229004,5.219566106796265,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

LSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,50,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,184.55421157097598,3113.4935908317566,57.35832929611206,3056.1352615356445,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,168.65868703312125,26.887598991394043,5.883854866027832,21.00374412536621,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

FQI,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,206.21381547637685,165.3832721710205,10.756822109222412,154.6264500617981,,,,,,central,0.0,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,

