algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
FQI,5,208,57,22,9,5,4,15,74,334,4272
FQI,5,176,75,9,8,3,5,14,81,326,4303
FQI,5,186,63,16,5,1,4,18,93,369,4245
FQI,5,230,63,19,2,1,7,8,90,353,4227
FQI,5,172,90,18,5,3,6,14,96,353,4243
FQI,5,195,69,10,4,3,1,17,90,368,4243
FQI,5,174,73,14,4,3,5,12,84,315,4316
FQI,5,210,61,9,3,2,4,15,95,350,4251
FQI,5,170,64,15,6,8,4,10,75,315,4333
FQI,5,185,63,16,4,0,6,16,79,324,4307
FQI,10,142,43,9,8,4,5,11,81,282,4415
FQI,10,119,48,13,6,2,7,15,63,240,4487
FQI,10,143,39,6,3,5,7,15,67,278,4437
FQI,10,139,61,19,6,5,6,13,66,269,4416
FQI,10,133,61,12,6,4,6,19,78,297,4384
FQI,10,135,59,13,9,4,6,25,67,284,4398
FQI,10,155,77,21,7,4,7,8,65,304,4352
FQI,10,134,58,15,11,4,3,14,68,252,4441
FQI,10,128,61,15,4,6,3,15,68,292,4408
FQI,10,142,54,13,4,4,6,27,65,256,4429
