algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
NLSM,5,0,0,0,1,0,1,4,300,1771,2923
NLSM,5,0,9,38,78,120,134,256,305,1830,2230
NLSM,10,0,0,1,1,0,5,4,114,1889,2986
NLSM,10,0,4,16,43,94,146,209,432,1977,2079
RFQI,5,0,0,0,2,7,40,82,93,120,4656
RFQI,5,0,0,1,0,0,3,2,4,8,4982
RFQI,10,3606,631,215,92,51,42,20,9,12,322
RFQI,10,0,0,1,0,0,4,6,14,13,4962
RLSM,5,0,0,11,23,10,30,61,82,625,4158
RLSM,5,0,6,17,57,68,131,184,293,1896,2348
RLSM,10,1,1,2,4,5,20,60,85,327,4495
RLSM,10,0,2,10,42,65,103,158,297,1929,2394
LSM,5,1,1,2,4,2,18,30,150,590,4202
LSM,5,0,0,0,13,33,72,173,326,1835,2548
LSM,10,0,0,0,5,8,20,45,141,939,3842
LSM,10,0,0,1,8,19,55,117,281,1786,2733
FQI,5,0,0,0,0,0,2,17,35,91,4855
FQI,5,0,0,0,0,0,7,26,50,98,4819
FQI,10,0,0,0,0,0,2,5,6,15,4972
FQI,10,0,0,0,0,3,10,25,72,119,4771
