algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,use_var,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,rate,alpha,sigma,beta,lam,x0,y0,dist_par,f_level,f_amp,f_period,num_swings,exercise_dates,price_upper_bound
SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1651.7998390050027,6.459893465042114,2.166794538497925,4.2930989265441895,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.2,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1663.889984713873,6.537229537963867,2.1800081729888916,4.357221364974976,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1691.0344712174583,6.423964500427246,2.113515615463257,4.310448884963989,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.6000000000000001,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1726.9837335740717,6.3065125942230225,2.0683276653289795,4.238184928894043,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.8,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1821.7230776240367,6.58998703956604,2.3233790397644043,4.266607999801636,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,1.0,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1876.039099939312,6.604125738143921,2.2329864501953125,4.371139287948608,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,1.2,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,2547.998661982991,6.545786380767822,2.1970481872558594,4.348738193511963,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,1.4000000000000001,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,4322.409137066228,6.596707105636597,2.229558229446411,4.3671488761901855,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,1.6,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,10197.155499055145,6.522842884063721,2.1137535572052,4.4090893268585205,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,1.8,100.0,0.5,1.0,10,,

SwingLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,64556.18020936274,6.404866695404053,2.04435396194458,4.360512733459473,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,2.0,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1653.3864275962394,30.394651889801025,2.6008763313293457,27.79377555847168,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.2,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1672.0194145438743,29.809951782226562,2.5890703201293945,27.220881462097168,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.4,100.0,0.5,1.0,10,,

SwingRLSM,ElectricityMarketModel,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,30,100,1.0,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,False,1694.539839956886,30.010819673538208,2.6088473796844482,27.40197229385376,,,,,,central,0.02,7.0,1.4,200.0,4.0,0.0,0.0,0.6000000000000001,100.0,0.5,1.0,10,,

