algorithm,num_dim,model_name,strike,spot,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
SwingLSM,1,ElectricityMarketModel,1.0,100,9101,8181,7156,5990,4592,3240,2045,1272,716,416,230,152,127,84,50,67,79,106,138,195,387,878,2005,3817,5744,7436,8575,9068,9136,9017
SwingLSM,1,ElectricityMarketModel,1.0,100,8838,8086,7134,5993,4588,3256,1966,1171,678,370,251,150,133,90,91,60,63,80,100,184,401,974,2151,4098,5751,7390,8544,9131,9262,9016
SwingLSM,1,ElectricityMarketModel,1.0,100,8815,7986,7180,6005,4690,3159,2090,1245,703,382,274,164,108,77,91,87,84,114,129,240,417,943,2145,4017,5860,7355,8537,9051,9221,8831
SwingLSM,1,ElectricityMarketModel,1.0,100,8675,7838,6929,5942,4555,3164,2102,1222,755,446,284,223,142,134,171,127,141,207,272,262,551,1195,2716,3721,6268,7221,8175,8934,8937,8691
SwingLSM,1,ElectricityMarketModel,1.0,100,8529,7706,6769,5817,4577,3289,2118,1336,786,495,309,208,176,168,135,149,235,287,333,697,684,1185,3018,4577,5715,7192,8049,8565,8580,8316
SwingLSM,1,ElectricityMarketModel,1.0,100,8438,7672,6731,5871,4554,3132,2101,1401,844,502,326,253,212,225,156,216,219,283,441,364,739,1448,2935,4317,5350,7094,8265,8719,8640,8552
SwingLSM,1,ElectricityMarketModel,1.0,100,8322,7463,6697,5693,3471,2602,1545,1042,676,349,312,253,219,193,203,205,264,317,380,526,629,1357,3087,4003,6140,7939,8555,8764,9258,9536
SwingLSM,1,ElectricityMarketModel,1.0,100,8286,7493,6622,5653,4401,3271,2171,1361,844,533,365,294,265,257,259,267,302,380,519,673,1132,1720,2950,4265,5663,6948,7900,8361,8367,8478
SwingLSM,1,ElectricityMarketModel,1.0,100,7017,6206,5482,10000,3331,2281,1266,792,494,358,284,223,205,172,212,203,223,10000,397,516,675,1058,1755,2753,4074,10000,6146,6937,8234,8706
SwingLSM,1,ElectricityMarketModel,1.0,100,6197,5639,4777,3861,2851,1806,10000,778,491,343,248,214,201,144,10000,184,231,245,334,10000,710,983,1392,2196,3424,4689,5584,6280,6804,9394
SwingRLSM,1,ElectricityMarketModel,1.0,100,8990,8131,7269,6083,4715,3252,2079,1170,677,391,184,143,89,56,53,60,74,90,129,187,401,952,2028,3729,5698,7496,8612,9083,9162,9017
SwingRLSM,1,ElectricityMarketModel,1.0,100,8878,8073,7173,6131,4747,3230,2054,1243,716,418,241,145,98,78,74,80,111,105,151,236,443,994,2205,3883,5812,7333,8399,8972,9065,8912
SwingRLSM,1,ElectricityMarketModel,1.0,100,8894,7970,7127,6095,4631,3183,2037,1228,647,375,275,174,119,119,94,105,100,138,177,288,502,1117,2346,3899,5615,7343,8415,8933,9096,8958
SwingRLSM,1,ElectricityMarketModel,1.0,100,8899,7973,7167,5999,4579,3230,1962,1205,772,397,309,212,161,179,124,137,137,149,240,268,609,1118,2054,3813,5583,7241,8464,8912,9101,9006
SwingRLSM,1,ElectricityMarketModel,1.0,100,8659,7958,6886,5825,4727,3330,2077,1259,724,481,314,200,152,127,139,167,165,226,236,373,568,1236,2486,3834,5610,7058,8261,8823,9034,9065
SwingRLSM,1,ElectricityMarketModel,1.0,100,8521,7689,6823,5795,4467,3345,2092,1247,792,473,331,233,184,189,171,174,188,240,334,369,700,1378,2489,4209,5496,7141,8140,8777,8984,9029
SwingRLSM,1,ElectricityMarketModel,1.0,100,8554,7695,6992,6070,4482,3245,2143,1223,700,464,401,280,191,182,172,198,168,249,319,494,762,1346,2162,3762,5506,7253,8087,8741,9125,9034
SwingRLSM,1,ElectricityMarketModel,1.0,100,8379,7674,6812,5835,4492,3136,1904,1030,674,447,327,233,222,202,183,185,190,216,297,390,668,1301,2559,4059,5533,7173,8286,9043,9169,9381
SwingRLSM,1,ElectricityMarketModel,1.0,100,8329,7546,6799,5602,4421,3049,1892,998,632,441,358,284,288,229,258,264,284,318,422,467,646,1275,2450,4052,5823,7243,8357,8765,8946,9562
SwingRLSM,1,ElectricityMarketModel,1.0,100,8177,7617,6698,5790,4351,2890,1469,1044,641,463,311,262,257,230,218,283,259,346,446,470,848,1577,2690,4155,5422,7183,8249,9085,9012,9557
