algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,100,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
NLSM,500,0,0,0,0,0,0,0,0,5000,0
RFQI,100,141,73,33,12,10,17,24,80,185,4425
RFQI,100,128,70,33,11,10,15,27,69,203,4434
RFQI,100,151,63,28,17,8,19,26,81,163,4444
RFQI,100,124,72,32,15,10,15,31,57,176,4468
RFQI,100,118,69,27,16,8,10,25,67,177,4483
RFQI,100,148,69,29,19,14,8,30,69,198,4416
RFQI,100,132,87,24,13,17,10,29,56,207,4425
RFQI,100,151,78,36,8,8,11,33,80,176,4419
RFQI,100,129,62,23,13,12,8,26,73,167,4487
RFQI,100,131,75,31,18,12,9,25,83,220,4396
RFQI,100,138,76,38,13,8,11,29,82,192,4413
RFQI,100,132,68,23,17,21,14,25,87,176,4437
RFQI,100,142,65,23,15,10,18,30,80,190,4427
RFQI,100,136,63,36,16,11,10,33,84,195,4416
RFQI,100,124,68,27,14,15,9,38,71,166,4468
RFQI,100,136,74,33,20,9,12,30,77,192,4417
RFQI,100,140,65,31,13,6,15,24,66,190,4450
RFQI,100,176,103,41,11,21,21,34,84,218,4291
RFQI,100,156,66,37,12,20,9,33,87,204,4376
RFQI,100,128,80,39,17,18,16,25,61,186,4430
RFQI,500,174,101,38,21,14,18,46,95,177,4316
RFQI,500,164,83,26,9,15,18,36,80,161,4408
RFQI,500,174,94,42,18,25,29,40,102,149,4327
RFQI,500,136,90,39,23,25,11,38,86,146,4406
RFQI,500,137,82,39,20,22,10,37,83,150,4420
RFQI,500,152,78,29,33,12,32,37,87,164,4376
RFQI,500,164,87,57,19,16,20,49,87,155,4346
RFQI,500,131,100,39,14,15,15,43,84,158,4401
RFQI,500,129,82,34,13,12,19,45,97,176,4393
RFQI,500,147,84,55,27,14,24,38,80,169,4362
RFQI,500,146,89,29,15,11,19,35,80,154,4422
RFQI,500,170,84,30,22,11,26,42,103,161,4351
RFQI,500,158,107,37,17,16,29,37,80,168,4351
RFQI,500,153,101,36,27,15,25,41,93,177,4332
RFQI,500,140,82,39,26,27,16,38,75,166,4391
RFQI,500,155,90,44,20,15,15,46,79,174,4362
RFQI,500,153,102,36,18,15,24,51,90,160,4351
RFQI,500,161,101,49,17,18,29,54,90,177,4304
RFQI,500,148,76,38,26,17,18,43,66,144,4424
RFQI,500,157,95,47,26,12,20,31,101,158,4353
RLSM,100,213,96,30,14,16,16,53,160,1057,3345
RLSM,100,204,115,43,17,12,10,30,161,975,3433
RLSM,100,190,109,48,19,20,25,45,158,1033,3353
RLSM,100,193,121,37,22,12,20,42,167,1012,3374
RLSM,100,231,98,25,23,9,20,34,158,1079,3323
RLSM,100,192,114,47,20,9,23,42,149,1119,3285
RLSM,100,216,99,50,15,11,14,46,147,1024,3378
RLSM,100,211,110,40,15,12,11,48,137,1069,3347
RLSM,100,198,107,25,15,17,28,36,149,977,3448
RLSM,100,215,124,35,16,15,19,44,138,1139,3255
RLSM,500,264,154,57,32,25,36,69,225,1027,3111
RLSM,500,273,165,66,23,28,31,81,240,1029,3064
RLSM,500,266,161,69,38,18,30,71,253,981,3113
RLSM,500,265,172,58,31,26,36,87,195,931,3199
RLSM,500,261,134,71,30,20,25,71,222,945,3221
RLSM,500,289,167,71,25,23,23,71,230,1014,3087
RLSM,500,253,151,63,32,22,35,71,192,959,3222
RLSM,500,236,158,69,42,19,26,76,193,1024,3157
RLSM,500,291,171,61,25,25,21,76,220,949,3161
RLSM,500,252,166,65,30,25,25,77,230,1007,3123
