algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
RFQI,100,127,70,29,11,8,24,25,82,171,4453
RFQI,100,125,44,18,15,15,24,33,79,165,4482
RFQI,100,133,79,20,11,9,21,21,79,209,4418
RFQI,100,125,82,25,12,10,16,27,69,164,4470
RFQI,100,116,70,29,14,18,16,24,64,176,4473
RFQI,100,141,72,29,18,10,11,34,72,192,4421
RFQI,100,144,76,26,20,12,14,39,102,206,4361
RFQI,100,131,85,36,13,9,13,40,82,202,4389
RFQI,100,125,71,19,19,3,14,26,74,167,4482
RFQI,100,109,77,20,11,13,15,35,81,162,4477
RFQI,500,160,70,42,19,7,28,41,87,160,4386
RFQI,500,180,98,35,12,9,12,34,93,182,4345
RFQI,500,151,67,37,18,23,16,51,95,181,4361
RFQI,500,140,86,39,21,21,18,33,101,160,4381
RFQI,500,143,87,34,14,6,15,48,74,176,4403
RFQI,500,154,84,34,15,18,21,34,73,163,4404
RFQI,500,139,84,35,21,16,21,31,85,124,4444
RFQI,500,159,97,42,25,16,21,40,84,157,4359
RFQI,500,145,77,39,25,8,22,46,98,142,4398
RFQI,500,185,80,41,28,10,19,34,84,171,4348
