algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
NLSM,5,0,0,0,0,5,1,0,224,1807,2963
NLSM,5,0,0,0,0,6,0,7,149,1788,3050
NLSM,5,0,0,0,0,0,4,0,127,1686,3183
NLSM,5,0,0,0,1,4,0,5,220,1753,3017
NLSM,5,0,0,0,1,0,2,5,256,1718,3018
NLSM,5,0,0,0,3,5,7,3,37,1689,3256
NLSM,5,0,0,0,1,1,4,0,56,1657,3281
NLSM,5,0,0,0,1,2,3,22,181,1859,2932
NLSM,5,0,0,1,1,5,6,8,21,1855,3103
NLSM,5,0,0,0,1,2,1,9,93,1811,3083
NLSM,5,1,16,55,70,84,142,162,327,1800,2343
NLSM,5,0,10,28,73,99,83,199,523,1904,2081
NLSM,5,0,17,47,76,102,106,213,382,1780,2277
NLSM,5,0,12,53,63,92,113,207,487,1873,2100
NLSM,5,0,13,33,74,114,158,163,355,1807,2283
NLSM,5,0,21,30,59,122,153,188,435,1906,2086
NLSM,5,1,14,38,65,81,132,141,441,1683,2404
NLSM,5,2,14,33,65,107,151,180,468,1881,2099
NLSM,5,1,7,30,45,67,60,107,54,2971,1658
NLSM,5,0,16,34,48,93,151,154,290,2005,2209
NLSM,10,0,0,0,1,0,3,27,263,1856,2850
NLSM,10,0,0,0,0,4,2,18,198,2024,2754
NLSM,10,0,0,0,1,0,0,7,128,1826,3038
NLSM,10,0,0,0,0,1,6,2,98,1911,2982
NLSM,10,0,0,0,0,5,3,23,273,1986,2710
NLSM,10,0,0,0,0,2,5,5,86,2076,2826
NLSM,10,0,0,0,0,3,5,7,115,1995,2875
NLSM,10,0,0,0,2,2,0,7,150,2004,2835
NLSM,10,0,0,0,0,1,1,39,258,1805,2896
NLSM,10,0,0,0,0,1,2,81,263,1939,2714
NLSM,10,0,1,13,30,60,118,213,338,2064,2163
NLSM,10,0,2,9,39,58,124,184,428,2089,2067
NLSM,10,0,2,16,27,77,135,168,428,2118,2029
NLSM,10,0,3,24,33,87,162,212,310,1927,2242
NLSM,10,0,2,15,41,73,92,162,363,2056,2196
NLSM,10,0,1,13,39,76,114,141,344,1929,2343
NLSM,10,0,3,16,51,61,109,204,325,2128,2103
NLSM,10,0,3,18,40,74,111,180,341,1935,2298
NLSM,10,0,3,16,30,73,100,194,376,1940,2268
NLSM,10,0,1,15,45,85,115,200,361,1912,2266
NLSM,50,0,0,0,1,2,28,68,227,2083,2591
NLSM,50,0,0,0,0,8,28,52,200,2076,2636
NLSM,50,0,0,0,1,10,32,115,228,2069,2545
NLSM,50,0,0,0,4,10,22,81,205,1995,2683
NLSM,50,0,0,0,2,20,50,97,239,2003,2589
NLSM,50,0,0,1,1,5,19,76,207,2091,2600
NLSM,50,0,0,0,3,14,48,85,225,2093,2532
NLSM,50,0,0,2,5,9,47,128,210,2220,2379
NLSM,50,0,0,0,0,3,25,58,192,2125,2597
NLSM,50,0,0,0,0,7,17,81,157,2179,2559
NLSM,50,0,0,3,6,38,58,111,249,2184,2351
NLSM,50,0,0,0,9,29,89,136,225,1994,2518
NLSM,50,0,0,6,16,60,66,120,195,2290,2247
NLSM,50,0,1,1,20,32,56,130,308,2175,2277
NLSM,50,0,2,7,22,41,111,142,336,1993,2346
NLSM,50,0,0,0,6,15,54,119,264,2019,2523
NLSM,50,0,0,4,23,39,68,111,245,2287,2223
NLSM,50,0,0,0,13,46,78,149,219,2130,2365
NLSM,50,0,0,3,10,33,48,138,214,2329,2225
NLSM,50,0,0,1,15,49,82,120,237,2135,2361
RFQI,5,0,0,0,1,9,19,26,40,65,4840
RFQI,5,0,0,0,1,8,33,280,1486,2293,899
RFQI,5,0,0,0,1,3,11,15,19,26,4925
RFQI,5,245,298,265,226,193,186,147,126,129,3185
RFQI,5,2504,639,358,226,161,162,111,109,86,644
RFQI,5,0,0,0,2,14,38,83,133,221,4509
RFQI,5,0,0,0,0,9,29,51,101,170,4640
RFQI,5,0,0,1,0,0,1,1,5,7,4985
RFQI,5,0,0,0,0,11,74,174,383,584,3774
RFQI,5,0,0,0,0,1,1,12,7,12,4967
RFQI,5,0,0,1,1,3,6,15,12,27,4935
RFQI,5,0,0,0,0,0,0,0,1,0,4999
RFQI,5,0,0,0,13,73,216,491,729,818,2660
RFQI,5,2783,418,173,122,105,67,57,47,37,1191
RFQI,5,0,0,0,0,0,0,0,2,3,4995
RFQI,5,0,0,11,47,154,642,1575,1394,370,807
RFQI,5,0,0,0,0,0,0,1,0,0,4999
RFQI,5,0,0,0,0,0,0,0,0,1,4999
RFQI,5,0,2,15,34,59,64,87,110,103,4526
RFQI,5,0,0,0,0,0,0,0,0,0,5000
RFQI,10,0,0,0,0,1,1,4,8,19,4967
RFQI,10,368,360,228,198,152,122,106,101,87,3278
RFQI,10,0,0,1,4,11,21,126,500,870,3467
RFQI,10,0,0,0,0,1,13,17,29,36,4904
RFQI,10,0,6,13,36,25,39,41,35,28,4777
RFQI,10,0,0,0,0,6,38,173,550,979,3254
RFQI,10,0,0,0,0,0,1,169,1882,2360,588
RFQI,10,4681,127,33,11,2,2,2,2,4,136
RFQI,10,483,966,928,670,458,318,266,188,116,607
RFQI,10,0,0,4,403,1106,1186,850,481,260,710
RFQI,10,4633,101,31,11,10,6,5,3,5,195
RFQI,10,0,0,2,17,34,32,41,24,36,4814
RFQI,10,103,344,359,341,228,256,221,213,189,2746
RFQI,10,0,0,0,1,3,8,16,19,22,4931
RFQI,10,469,409,272,201,168,156,138,146,135,2906
RFQI,10,4991,4,0,0,0,0,0,0,0,5
RFQI,10,0,0,0,0,0,1,1,9,8,4981
RFQI,10,2871,291,88,56,36,19,26,32,26,1555
RFQI,10,0,0,0,0,0,0,0,0,0,5000
RFQI,10,0,0,0,0,3,6,9,16,27,4939
RFQI,50,0,0,0,0,2,6,13,21,57,4901
RFQI,50,0,0,0,0,1,5,12,37,74,4871
RFQI,50,0,0,0,0,2,3,17,26,58,4894
RFQI,50,0,0,0,0,1,5,13,39,59,4883
RFQI,50,0,0,0,0,0,8,19,25,59,4889
RFQI,50,0,0,0,0,2,4,11,36,74,4873
RFQI,50,0,0,0,0,1,4,14,24,68,4889
RFQI,50,0,0,0,0,2,4,13,14,53,4914
RFQI,50,0,0,0,0,3,5,27,39,67,4859
RFQI,50,0,0,0,0,0,4,12,30,58,4896
RFQI,50,0,0,0,1,10,38,85,148,230,4488
RFQI,50,0,0,0,5,18,44,111,155,205,4462
RFQI,50,0,0,0,1,21,47,108,157,219,4447
RFQI,50,0,0,0,0,11,28,79,144,235,4503
RFQI,50,0,0,0,1,9,46,96,147,197,4504
RFQI,50,0,0,0,2,16,40,95,157,254,4436
RFQI,50,0,0,0,4,14,29,87,142,208,4516
RFQI,50,0,0,2,3,16,36,75,135,224,4509
RFQI,50,0,0,1,1,11,40,79,146,196,4526
RFQI,50,0,0,0,2,9,41,78,147,184,4539
RLSM,5,0,0,7,10,28,50,37,64,554,4250
RLSM,5,0,1,3,11,19,32,48,52,682,4152
RLSM,5,0,0,5,13,38,18,32,85,521,4288
RLSM,5,0,1,6,17,23,32,58,125,652,4086
RLSM,5,0,0,8,12,30,47,75,82,606,4140
RLSM,5,0,1,4,11,25,47,80,88,632,4112
RLSM,5,0,1,9,9,35,49,40,53,413,4391
RLSM,5,0,0,6,7,27,34,57,97,501,4271
RLSM,5,0,2,2,14,21,53,37,134,722,4015
RLSM,5,0,2,7,19,20,33,69,193,588,4069
RLSM,5,1,3,23,48,82,136,219,287,1770,2431
RLSM,5,0,2,21,50,63,123,160,291,1823,2467
RLSM,5,0,6,21,39,80,117,166,314,1876,2381
RLSM,5,0,6,21,34,87,153,184,360,1903,2252
RLSM,5,0,4,16,26,50,88,173,313,1721,2609
RLSM,5,1,6,25,41,69,80,192,281,1760,2545
RLSM,5,2,6,11,36,58,142,174,281,1848,2442
RLSM,5,0,4,17,60,85,162,206,339,1820,2307
RLSM,5,1,6,17,54,72,121,193,338,1875,2323
RLSM,5,0,9,26,49,89,122,203,313,1917,2272
RLSM,10,0,0,0,0,12,24,39,65,476,4384
RLSM,10,0,2,2,3,8,30,22,117,610,4206
RLSM,10,0,0,2,4,16,15,45,40,476,4402
RLSM,10,0,1,1,3,3,7,11,24,637,4313
RLSM,10,0,0,2,2,8,12,33,78,240,4625
RLSM,10,0,1,2,3,13,27,48,94,243,4569
RLSM,10,0,1,0,13,7,29,27,29,450,4444
RLSM,10,0,0,4,6,19,15,22,55,419,4460
