algorithm,num_dim,model_name,strike,spot,1,2,3,4,5
SwingLSM,1,ElectricityMarketModel,1.0,100,0,0,0,10,0
SwingRLSM,1,ElectricityMarketModel,1.0,100,0,0,0,10,0
