algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
LSM,5,446,158,29,13,6,10,24,125,1115,3074
LSM,5,382,157,33,4,8,5,15,104,1202,3090
LSM,5,383,163,27,8,6,1,20,108,1203,3081
LSM,5,422,189,19,4,8,6,19,104,1167,3062
LSM,5,456,172,27,14,7,13,20,116,1170,3005
LSM,5,417,161,32,4,9,10,18,104,1157,3088
LSM,5,421,155,24,19,12,8,28,107,1131,3095
LSM,5,465,181,29,10,9,4,21,120,1151,3010
LSM,5,426,181,39,9,8,8,18,104,1133,3074
LSM,5,448,162,33,7,9,12,20,126,1199,2984
LSM,10,351,164,38,15,12,18,29,155,1136,3082
LSM,10,334,126,52,17,14,20,33,121,1210,3073
LSM,10,367,168,27,15,22,15,24,128,1117,3117
LSM,10,415,127,29,12,19,15,26,148,1143,3066
LSM,10,369,161,56,21,14,19,32,121,1107,3100
LSM,10,378,170,28,24,24,22,24,150,1126,3054
LSM,10,356,131,37,24,33,21,32,140,1148,3078
LSM,10,340,147,27,30,18,24,39,131,1193,3051
LSM,10,339,137,34,15,20,21,30,147,1123,3134
LSM,10,339,154,35,24,19,22,26,129,1183,3069
LSM,50,23,40,52,135,182,362,680,1125,2372,29
LSM,50,20,56,52,121,200,283,565,1138,2531,34
LSM,50,26,41,65,108,190,359,576,1214,2389,32
LSM,50,14,49,61,132,216,328,612,1161,2392,35
LSM,50,27,37,98,101,188,341,668,1096,2411,33
LSM,50,26,44,88,123,176,328,616,1171,2398,30
LSM,50,27,48,84,134,155,330,691,1126,2368,37
LSM,50,27,56,99,131,160,298,628,1136,2432,33
LSM,50,35,66,91,135,139,296,611,1240,2339,48
LSM,50,32,43,71,119,190,268,633,1199,2414,31
