algorithm,num_dim,model_name,strike,spot,1,2,3,4,5,6,7,8,9,10
SwingLSM,1,ElectricityMarketModel,1.0,100,6410,2459,513,111,71,89,226,3112,7959,9050
SwingLSM,1,ElectricityMarketModel,1.0,100,6537,2597,531,95,45,64,223,2954,7940,9014
SwingLSM,1,ElectricityMarketModel,1.0,100,6528,2621,474,102,51,67,243,2980,7975,8959
SwingLSM,1,ElectricityMarketModel,1.0,100,6625,2539,488,106,47,73,214,2915,7981,9012
SwingLSM,1,ElectricityMarketModel,1.0,100,6665,2609,554,100,56,56,226,2914,7809,9011
SwingRLSM,1,ElectricityMarketModel,1.0,100,6530,2601,475,109,89,81,244,2909,7947,9015
SwingRLSM,1,ElectricityMarketModel,1.0,100,6622,2681,528,99,44,59,253,2924,7816,8974
SwingRLSM,1,ElectricityMarketModel,1.0,100,6737,2649,534,115,51,68,243,2852,7814,8937
SwingRLSM,1,ElectricityMarketModel,1.0,100,6669,2507,506,109,48,67,277,2951,7964,8902
SwingRLSM,1,ElectricityMarketModel,1.0,100,6589,2517,516,122,52,90,283,2912,7912,9007
