algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,use_path,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,rate,alpha,sigma,beta,lam,x0,y0,dist_par,f_level,f_amp,f_period,price_upper_bound
NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,33.78745783105079,14.054525136947632,0.9603452682495117,13.09417986869812,,,,,,central,,,,,,,,,,,,

NLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,32.190597466405,13.860205888748169,0.8737757205963135,12.986430168151855,,,,,,central,,,,,,,,,,,,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,34.31854438161163,6.618818998336792,0.8828227519989014,5.735996246337891,,,,,,central,,,,,,,,,,,,

RFQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,34.579477301134425,6.510660648345947,0.8892874717712402,5.621373176574707,,,,,,central,,,,,,,,,,,,

RLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,34.185878844004684,1.621063232421875,0.9098620414733887,0.7112011909484863,,,,,,central,,,,,,,,,,,,

RLSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,32.66882025514016,1.5887768268585205,0.9789083003997803,0.6098685264587402,,,,,,central,,,,,,,,,,,,

LSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,34.12580335195395,5.071271181106567,0.9765317440032959,4.0947394371032715,,,,,,central,,,,,,,,,,,,

LSM,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,33.686152181790696,4.490427732467651,0.9938127994537354,3.496614933013916,,,,,,central,,,,,,,,,,,,

FQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,False,34.23773559101487,17.73428177833557,0.8610491752624512,16.87323260307312,,,,,,central,,,,,,,,,,,,

FQI,BlackScholes,MaxCall,0.0,0.2,0.01,2,-0.3,0.75,10,20000,10,100,100,0.0,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,False,34.228689435282384,16.406872272491455,0.9024708271026611,15.504401445388794,,,,,,central,,,,,,,,,,,,

