algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
NLSM,5,0,0,0,0,0,0,0,0,5,0
NLSM,5,0,0,0,0,0,0,0,0,5,0
NLSM,5,0,0,0,0,0,0,0,0,5,0
NLSM,5,0,0,0,0,0,0,0,0,5,0
NLSM,5,0,0,0,0,0,0,0,0,5,0
NLSM,5,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,10,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
NLSM,50,0,0,0,0,0,0,0,0,5,0
RFQI,5,0,0,0,0,0,0,0,0,0,5
RFQI,5,1,2,0,0,0,0,0,0,0,2
RFQI,5,0,0,0,0,0,0,0,0,0,5
RFQI,5,1,0,0,1,1,1,0,0,0,1
RFQI,5,1,0,0,0,0,1,0,0,0,3
RFQI,5,5,0,0,0,0,0,0,0,0,0
RFQI,5,1,0,0,0,0,0,0,1,0,3
RFQI,5,0,1,0,0,0,1,0,0,0,3
RFQI,5,0,0,0,0,0,0,1,0,0,4
RFQI,5,1,0,0,0,0,0,0,1,0,3
RFQI,10,0,0,0,0,0,0,0,0,0,5
RFQI,10,1,1,0,0,1,0,0,0,0,2
RFQI,10,1,1,1,0,0,0,0,0,1,1
RFQI,10,0,0,0,0,0,0,0,0,0,5
RFQI,10,0,0,0,0,0,0,0,0,0,5
RFQI,10,1,1,0,0,0,1,0,0,0,2
RFQI,10,0,0,0,0,0,0,0,0,0,5
RFQI,10,2,0,1,0,0,0,0,2,0,0
RFQI,10,1,0,0,1,0,0,0,1,0,2
RFQI,10,1,0,1,1,0,0,0,0,0,2
RFQI,50,0,0,0,0,0,0,0,0,0,5
RFQI,50,0,0,0,0,0,0,0,1,0,4
RFQI,50,0,0,0,0,0,0,0,0,0,5
RFQI,50,1,0,0,0,0,0,0,0,1,3
RFQI,50,0,0,0,0,0,0,0,0,1,4
RFQI,50,1,0,0,0,0,0,0,1,3,0
RFQI,50,3,0,0,0,0,0,0,0,0,2
RFQI,50,0,0,0,0,0,0,0,0,0,5
RFQI,50,2,0,0,0,0,0,0,0,0,3
RFQI,50,0,0,0,0,0,0,0,0,0,5
RLSM,5,0,1,0,0,0,0,0,1,3,0
RLSM,5,0,0,0,0,0,0,0,1,4,0
RLSM,5,1,1,1,0,0,0,0,1,1,0
RLSM,5,0,0,0,0,0,0,0,0,1,4
RLSM,5,0,1,0,0,0,0,0,2,0,2
RLSM,5,0,0,0,1,0,0,0,1,1,2
RLSM,5,0,0,0,0,0,0,0,0,3,2
RLSM,5,0,0,0,0,0,1,0,0,4,0
RLSM,5,0,0,2,0,0,0,0,0,1,2
RLSM,5,0,0,0,1,0,0,0,1,3,0
RLSM,10,0,0,0,0,0,0,0,0,1,4
RLSM,10,0,1,0,0,0,0,0,1,3,0
RLSM,10,0,1,0,0,0,0,0,0,4,0
RLSM,10,1,2,0,0,1,0,0,0,1,0
RLSM,10,0,1,0,0,1,0,0,1,1,1
RLSM,10,0,0,0,2,0,1,0,1,0,1
RLSM,10,0,0,0,0,0,0,0,0,1,4
RLSM,10,0,0,0,0,0,0,0,0,4,1
RLSM,10,0,0,0,0,0,0,0,1,4,0
RLSM,10,0,0,1,0,0,0,0,0,3,1
RLSM,50,0,1,0,0,0,0,0,1,3,0
RLSM,50,0,0,0,1,0,0,0,1,3,0
RLSM,50,0,0,0,0,0,0,0,0,5,0
RLSM,50,0,1,0,0,0,0,0,1,3,0
RLSM,50,0,0,0,1,0,0,0,1,3,0
RLSM,50,1,0,0,0,0,0,0,0,4,0
RLSM,50,0,0,0,0,0,0,0,0,5,0
RLSM,50,1,0,0,0,0,0,0,0,3,1
RLSM,50,1,0,0,0,0,0,0,3,1,0
