algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
RFQI,5,3246,974,355,79,43,57,51,44,35,116
RFQI,5,83,39,8,4,0,2,8,30,164,4662
RFQI,5,1,3,1,0,0,0,0,1,3,4991
RFQI,5,138,49,7,2,4,7,8,56,219,4510
RFQI,5,2,1,0,0,0,0,0,0,2,4995
RFQI,5,61,13,4,1,2,2,4,22,98,4793
RFQI,5,16,12,3,2,1,0,5,6,31,4924
RFQI,5,8,0,1,0,0,1,4,4,14,4968
RFQI,5,75,21,4,3,1,2,6,22,114,4752
RFQI,5,165,58,16,6,4,3,9,76,300,4363
RFQI,10,189,75,10,4,5,6,21,96,342,4252
RFQI,10,164,57,13,8,7,4,16,74,345,4312
RFQI,10,160,69,16,4,4,3,10,91,289,4354
RFQI,10,186,78,11,8,4,3,9,81,344,4276
RFQI,10,189,62,17,5,4,6,19,88,358,4252
RFQI,10,152,63,13,11,3,4,14,72,292,4376
RFQI,10,155,53,17,5,4,4,18,85,391,4268
RFQI,10,150,62,9,7,6,7,15,61,351,4332
RFQI,10,151,59,11,6,2,9,9,74,351,4328
RFQI,10,181,57,8,6,8,4,10,78,335,4313
RFQI,50,122,48,15,11,6,8,25,72,192,4501
RFQI,50,146,65,26,12,9,12,32,96,233,4369
RFQI,50,151,73,30,16,4,15,16,67,286,4342
RFQI,50,117,90,26,8,6,14,27,77,252,4383
RFQI,50,113,72,26,10,3,13,22,77,266,4398
RFQI,50,135,64,33,14,6,14,26,73,284,4351
RFQI,50,116,75,15,10,13,9,32,97,241,4392
RFQI,50,142,71,19,9,10,14,20,79,215,4421
RFQI,50,153,58,16,6,10,11,29,78,279,4360
RFQI,50,106,79,31,14,8,11,20,73,195,4463
