algorithm,num_dim,1,2,3,4,5,6,7,8,9,10
RLSM,500,0,0,0,0,10,28,62,179,1366,3355
RLSM,500,0,0,0,0,11,23,82,218,1449,3217
RLSM,500,0,0,0,0,4,17,74,187,1543,3175
RLSM,500,0,0,0,0,3,22,76,186,1439,3274
RLSM,500,0,0,0,0,2,19,75,178,1443,3283
RLSM,500,0,0,0,1,6,24,69,214,1372,3314
RLSM,500,0,0,0,0,1,24,78,212,1418,3267
RLSM,500,0,0,0,1,6,26,55,189,1418,3305
RLSM,500,0,0,0,1,0,20,61,189,1422,3307
RLSM,500,0,0,0,0,4,22,69,212,1396,3297
